"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20141021019479I","21-OCT-14","EAST HAVEN","CT","TWEED-NEW HAVEN","INCIDENT","MINOR","TAKEOFF: ROTATION","PIPER","PA-38","PA-38-112","AMERICAN FLIGHT ACADEMY","","","","26008","0","0","LYCOMI","0-235 SERIES","","","PRIVATE PILOT FLIGHT INSTRUCTOR","366","18","69",""
"20150401004089I","01-APR-15","WILLISTON","ND","SLOULIN FLD INTL","INCIDENT","MINOR","LANDING: APPROACH","BEECH","BE-95","BE-95-A55","","","GENERAL OPERATING RULES","","99BG","0","0","CONT M","I0-470 SERIES","","","COMMERCIAL PILOT","366","21","",""
"20090219015089I","19-FEB-09","","AL","SOUTH ALABAMA RGNL AT BILL BENTON FIELD","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BLANCA","BL-7","BL-7-AC","","","GENERAL OPERATING RULES","UNKNOWN","84268","0","0","CONT","O200*","O200","1","PRIVATE PILOT","367","40","40",""
"20090823049409I","23-AUG-09","DE KALB","IL","DE KALB TAYLOR MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA-J3C","PA-J3C-65","","","GENERAL OPERATING RULES","","22394","0","0","CONT M","A&C65 SERIES","","","PRIVATE PILOT","367","35","3",""
"20131026022839I","26-OCT-13","PHOENIX","AZ","PHOENIX DEER VALLEY","INCIDENT","NONE","LANDING: APPROACH","VANS","","","","","GENERAL OPERATING RULES","","194TT","0","0","LYCOMI","O-320-H2AD","","","PRIVATE PILOT","367","87","35",""
"20170209007279I","09-FEB-17","JACKSON","TN","MC KELLAR-SIPES RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","LANCAIR","LC-320","","","","GENERAL OPERATING RULES","","21B","0","0","LYCOMI","0-320 SERIES","","","COMMERCIAL PILOT","367","4","4",""
"20080306011369I","06-MAR-08","SALT LAKE CITY","UT","SOUTH VALLEY RGNL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-28RT","PA-28RT-201","","INSTRUCTION","GENERAL OPERATING RULES","UNKNOWN","2842T","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","368","12","79",""
"20101104051049I","04-NOV-10","CAMARILLO","CA","CAMARILLO","INCIDENT","MINOR","LANDING: ROLLOUT","NAVION","NAV-B","","","","GENERAL OPERATING RULES","","456H","0","0","CONTIN","IO-525-BA","UNK","","PRIVATE PILOT","369","178","11",""
"20131031020809I","31-OCT-13","VENICE","FL","VENICE MUNI","INCIDENT","SUBSTANTIAL","GROUND-RAMP","MOONEY","M-20","M-20-J","","","GENERAL OPERATING RULES","","201KZ","0","0","LYCOMI","I0360 SER","","1","PRIVATE PILOT","369","250","1",""
"20141009017789I","09-OCT-14","CRYSTAL","MN","CRYSTAL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA-28","PA-28-181","","","GENERAL OPERATING RULES","","92505","0","0","LYCOMI","O-360-A4M","N/A","","COMMERCIAL PILOT","369","155","7",""
"20161109023769I","09-NOV-16","SALINA","KS","SALINA RGNL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","BEECH","BE-33","BE-33-F33A","KANSAS STATE UNIVERSITY - SALINA","","PILOT SCHOOLS","","855KS","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT","369","140","30",""
"20080411832849I","11-APR-08","STURGIS","MI","KIRSCH MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CIRRUS","CIRRUS-SR","CIRRUS-SR-20","WESTERN MICHIGAN UNIVERSITY COLLEGE OF AVIATION","INSTRUCTION","GENERAL OPERATING RULES","UNKNOWN","48TG","0","0","CONT","IO360ES","O360","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","370","90","60",""
"20090613008669I","13-JUN-09","BERLIN","NJ","CAMDEN COUNTY","INCIDENT","MINOR","LANDING","PIPER","PA-32","PA-32-300","","","GENERAL OPERATING RULES","UNKNOWN","2183Z","0","0","","","","1","PRIVATE PILOT","370","258","4",""
"20100209028199I","09-FEB-10","MOUNT PLEASANT","SC","MT PLEASANT RGNL-FAISON FIELD","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA-28","PA-28-236","","","GENERAL OPERATING RULES","","4345R","0","0","","","","","PRIVATE PILOT","370","285","27",""
"20110705015339I","05-JUL-11","FARMINGDALE","NY","REPUBLIC","INCIDENT","MINOR","LANDING: TOUCHDOWN","CIRRUS","CIRRUS-SR","CIRRUS-SR-20","","","GENERAL OPERATING RULES","","159PG","0","0","CONT M","IO-360-ES","","1","PRIVATE PILOT","370","120","50",""
"20131230024979I","30-DEC-13","SALT LAKE CITY","UT","SALT LAKE CITY INTL","INCIDENT","MINOR","LANDING: APPROACH","MOONEY","M-20","M-20-K","","","GENERAL OPERATING RULES","","1152Q","0","0","CONT M","TSIO-360 SER","","1","PRIVATE PILOT","370","180","25",""
"20140418009489I","18-APR-14","BENTON","KS","LLOYD STEARMAN FIELD","INCIDENT","MINOR","OTHER-SPECIFY","PIPER","PA-28R","PA-28R-200","","","GENERAL OPERATING RULES","","328MA","0","0","LYCOMI","I0360 SER A&C","","","COMMERCIAL PILOT","370","275","35",""
"20140519005939I","19-MAY-14","PROVO","UT","PROVO MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA-28R","PA-28R-200","","","GENERAL OPERATING RULES","","2816R","0","0","LYCOMI","I0360 SER","","","PRIVATE PILOT","370","29","15",""
"20140921019309I","21-SEP-14","LIBERTY","MO","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BEECH","BE-77","","","","GENERAL OPERATING RULES","","3846U","0","0","LYCOMI","0-235 SERIES","","1","PRIVATE PILOT","370","140","36",""
"20141018018419I","18-OCT-14","LINDEN","MI","","INCIDENT","MINOR","LANDING: APPROACH","AERONCA","AR-15","AR-15-AC","","","GENERAL OPERATING RULES","","1356H","0","0","CONT M","C145 SERIES","","1","PRIVATE PILOT","370","125","35",""
"20141214023749I","14-DEC-14","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CIRRUS","CIRRUS-SR","CIRRUS-SR-20","","","GENERAL OPERATING RULES","","C-GTS","0","0","","","","1","UNKNOWN/FOREIGN","370","90","40",""
"20150530007709I","30-MAY-15","BOULDER","CO","BOULDER MUNI","INCIDENT","NONE","OTHER-SPECIFY","PIPER","PA-25","PA-25-260","","","GENERAL OPERATING RULES","","4543Y","0","0","LYCOMI","O-540-B2C5","","","COMMERCIAL PILOT","370","15","15",""
"20160606008639I","06-JUN-16","","AZ","AK-CHIN","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","BE-35","BE-35-C33","","","GENERAL OPERATING RULES","","27TH","0","0","CONT M","I0-470 SERIES","","","PRIVATE PILOT","370","70","23",""
"20161108022229I","08-NOV-16","ROCHESTER","MN","ROCHESTER INTL","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA-28","PA-28-180","","","GENERAL OPERATING RULES","","9295J","0","0","","","","","PRIVATE PILOT","370","200","15",""
"20170609012259I","09-JUN-17","OAK HILL","FL","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","CE-172","CE-172-K","","","GENERAL OPERATING RULES","","1946V","0","0","CONT M","IO-360 SER","UNKNOW","1","PRIVATE PILOT","371","96","19",""
"20100930048579I","30-SEP-10","PHOENIX","AZ","PHOENIX DEER VALLEY","INCIDENT","NONE","LANDING: ROLLOUT","CESSNA","CE-172","CE-172-S","","","GENERAL OPERATING RULES","","5218A","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","372","272","36",""
"20170327003189I","27-MAR-17","SANFORD","FL","ORLANDO SANFORD INTL","INCIDENT","MINOR","TAXI","CIRRUS","CIRRUS-SR","CIRRUS-SR-20","AEROSIM FLIGHT ACADEMY","","PILOT SCHOOLS","","609DA","0","0","CONT M","IO-360-ES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","372","139","139",""
"20080131009809I","31-JAN-08","CHINO","CA","CHINO","INCIDENT","NONE","IN TRAFFIC PATTERN-CIRCLING","ROBSIN","R-22","R-22-BETA","","INSTRUCTION","GENERAL OPERATING RULES","UNKNOWN","830SH","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","373","327","93",""
"20120610012839I","10-JUN-12","FULLERTON","CA","FULLERTON MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","CE-172","CE-172-P","","","GENERAL OPERATING RULES","","55515","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","373","180","5",""
"20151103020829I","03-NOV-15","EDEN PRAIRIE","MN","FLYING CLOUD","INCIDENT","MINOR","LANDING: TOUCHDOWN","ARION","LIGHTNING","","","","GENERAL OPERATING RULES","","335CE","0","0","JABIRU","3300","","1","PRIVATE PILOT","373","265","9",""
"20160422003529I","22-APR-16","SUNNYSIDE","WA","SUNNYSIDE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","CE-210","CE-210-T210N","","","GENERAL OPERATING RULES","","139BB","0","0","CONT M","TSIO-520 SER","","1","PRIVATE PILOT","373","130","3",""
"20150219002059I","19-FEB-15","SCOTTSDALE","AZ","SCOTTSDALE","INCIDENT","MINOR","LANDING: ROLLOUT","CIRRUS","CIRRUS-SR","CIRRUS-SR-22","","","GENERAL OPERATING RULES","","325CP","0","0","CONT M","IO-550-N","","1","PRIVATE PILOT","374","76","28",""
"20080926850719I","26-SEP-08","PROSSER","WA","PROSSER","INCIDENT","NONE","LANDING","THNDCT","THNDCT-AX8","","","","GENERAL OPERATING RULES","UNKNOWN","794TC","0","0","","","","0","COMMERCIAL PILOT","375","330","16",""
"20081017849889I","17-OCT-08","CARLSBAD","CA","MC CLELLAN-PALOMAR","INCIDENT","MINOR","LANDING","MOONEY","M-20","M-20-E","","","GENERAL OPERATING RULES","UNKNOWN","204WF","0","0","LYC","IO360A1A","O360","1","PRIVATE PILOT","375","90","2",""
"20100618035049I","18-JUN-10","BREMERTON","WA","BREMERTON NATIONAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","CE-182","CE-182-R","","","GENERAL OPERATING RULES","","7568T","0","0","LYCOMI","0-540 SERIES","","1","PRIVATE PILOT","375","75","2",""
"20101015048729I","15-OCT-10","WILLISTON","FL","WILLISTON MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","BE-35","BE-35-A33","","","GENERAL OPERATING RULES","","378Z","0","0","CONT M","I0-470 SERIES","","","PRIVATE PILOT","375","10","25",""
"20110216001879I","16-FEB-11","AUBURN","AL","AUBURN UNIVERSITY RGNL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","PIPER","PA-28R","PA-28R-201","","","GENERAL OPERATING RULES","","5202T","0","0","LYCOMI","I0360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","375","23","25",""
"20170425003879I","25-APR-17","HOWELL","MI","LIVINGSTON COUNTY SPENCER J. HARDY","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","CESSNA","CE-172","CE-172-S","","","PILOT SCHOOLS","","5253C","0","0","LYCOMI","IO-360-L2A","","1","COMMERCIAL PILOT","375","130","50",""
"20170703013829I","03-JUL-17","ELDON","MO","ELDON MODEL AIRPARK","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","SONEX","","","","","GENERAL OPERATING RULES","","390SG","0","0","REVMAS","2100","D","1","PRIVATE PILOT","375","29","3",""
"20080323831529I","23-MAR-08","HUMACOA","PR","HUMACAO","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-182","CE-182-T","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","1756V","0","0","LYC","IO540AB1A5","O540","1","PRIVATE PILOT","376","306","40",""
"20100802044319I","02-AUG-10","ENGLEWOOD","CO","CENTENNIAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA-28RT","PA-28RT-201","","","GENERAL OPERATING RULES","","8182J","0","0","CONT M","TSIO-360 SER","","","COMMERCIAL PILOT","376","7","15",""
"20120805016279I","05-AUG-12","ELKHART","IA","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","CE-172","","","","GENERAL OPERATING RULES","","4254F","0","0","CONT M","0-300 SER","","1","PRIVATE PILOT","376","8","11",""
"20130420007139I","20-APR-13","","AK","","INCIDENT","MINOR","OTHER-SPECIFY","AVIAT","AVIAT-A","AVIAT-A-1","","","GENERAL OPERATING RULES","","258AK","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","376","333","7",""
"20141115021989I","15-NOV-14","FAIRHOPE","AL","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA-28","PA-28-140","","","GENERAL OPERATING RULES","","924BA","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT FLIGHT INSTRUCTOR","376","75","69",""
"20110310006149I","10-MAR-11","STILLWATER","OK","STILLWATER RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","BE-23","BE-23-A2324","","","GENERAL OPERATING RULES","","4736J","0","0","LYCOMI","I0360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","378","9","28",""
"20080720849119I","20-JUL-08","WILLIMANTIC","CT","WINDHAM","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","MOONEY","M-20","M-20-J","","","GENERAL OPERATING RULES","UNKNOWN","201N","0","0","","","","1","COMMERCIAL PILOT","379","65","24",""
"20130328003619I","28-MAR-13","CHARLESTON","WV","YEAGER","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA-31","PA-31-310","","","GENERAL OPERATING RULES","","476HS","0","0","LYCOMI","TI0-540 SER","","","COMMERCIAL PILOT","379","39","40",""
"20180221002999I","21-FEB-18","NASHUA","NH","BOIRE FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","GULSTM","GA-AA","GA-AA-5A","","","GENERAL OPERATING RULES","","26422","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","379","285","3",""
"20080501836419I","01-MAY-08","MARKSVILLE","LA","MARKSVILLE MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-172","CE-172-N","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","1325F","0","0","LYC","O320*","O320","1","PRIVATE PILOT","380","325","20",""
"20080809843679I","09-AUG-08","AUSTIN","TX","AUSTIN-BERGSTROM INTL","INCIDENT","NONE","ROLL-OUT (FIXED WING)","CIRRUS","CIRRUS-SR","CIRRUS-SR-22","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","238CD","0","0","","","","1","PRIVATE PILOT","380","75","40",""
"20100730044549I","30-JUL-10","CENTENNIAL","CO","CENTENNIAL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","HUGHES","HU-269","HU-269-C","","","GENERAL OPERATING RULES","","20130","0","0","LYCOMI","HIO-360 SER","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","380","224","11",""
"20120623014479I","23-JUN-12","CHINO","CA","CHINO","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BEECH","BE-35","BE-35-S35","","","GENERAL OPERATING RULES","","143K","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","380","35","9",""
"20150321005099I","21-MAR-15","TUCSON","AZ","RYAN FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","CE-210","CE-210-T210F","","","GENERAL OPERATING RULES","","6106R","0","0","CONT M","GTSIO-520-C","","1","PRIVATE PILOT","380","180","3",""
"20151010017499I","10-OCT-15","WARRENTON","VA","WARRENTON AIR PARK","INCIDENT","MINOR","LANDING: APPROACH","","","","","","GENERAL OPERATING RULES","","42AT","0","0","HKS","700E","","","PRIVATE PILOT","380","315","7",""
"20160428004179I","28-APR-16","ALBUQUERQUE","NM","DOUBLE EAGLE II","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","CE-182","CE-182-R","","","GENERAL OPERATING RULES","","9851C","0","0","LYCOMI","0-540 SERIES","","1","COMMERCIAL PILOT","380","380","35",""
"20161129020469I","29-NOV-16","FORT WORTH","TX","BOURLAND FIELD","INCIDENT","NONE","MANEUVER","PIPER","PA-28","PA-28-161","DELTA AERONAUTICS","","PILOT SCHOOLS","","1914H","0","0","LYCOMI","O-320-D3G","O-320-","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","380","300","60",""
"20130330005279I","30-MAR-13","","SC","GREENVILLE DOWNTOWN","INCIDENT","MINOR","TAKEOFF: DEPARTURE","CESSNA","CE-172","CE-172-RG","","","PILOT SCHOOLS","","9374B","0","0","LYCOMI","O&VO-360 SER","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","381","67","25",""
"20131118025809I","18-NOV-13","HAVASU CITY","AZ","LAKE HAVASU CITY","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","CE-177","CE-177-RG","","","GENERAL OPERATING RULES","","25LG","0","0","LYCOMI","I0360 SER","","1","PRIVATE PILOT","381","381","19",""
"20080612835099I","12-JUN-08","BILLINGS","MT","","INCIDENT","MINOR","DESCENT","CESSNA","CE-177","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","3327T","0","0","LYC","O360*","O360","1","PRIVATE PILOT","382","382","33",""
"20101004047119I","04-OCT-10","EVART","MI","","INCIDENT","MINOR","LANDING: APPROACH","CGS","HAWK","CL","","","GENERAL OPERATING RULES","","9433G","0","0","HIRTH","3203","","","PRIVATE PILOT","382","5","2",""
"20150522006719I","22-MAY-15","","ID","ABERDEEN MUNI","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BLANCA","BBAVIA-8","BBAVIA-8-GCBC","","","GENERAL OPERATING RULES","","451PS","0","0","LYCOMI","O&VO-360 SER","","1","PRIVATE PILOT","382","300","70",""
"20090914015209I","14-SEP-09","MONTICELLO","UT","MONTICELLO","INCIDENT","MINOR","LANDING","PIPER","PA-24","PA-24-250","","","GENERAL OPERATING RULES","UNKNOWN","5978P","0","0","","","","1","PRIVATE PILOT","383","187","19",""
"20140513006419I","13-MAY-14","PALO ALTO","CA","PALO ALTO ARPT OF SANTA CLARA CO","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","CE-172","CE-172-N","","","GENERAL OPERATING RULES","","4660G","0","0","LYCOMI","0-360 SERIES","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","383","296","20",""
"20131214025849I","14-DEC-13","CARLSBAD","CA","MC CLELLAN-PALOMAR","INCIDENT","MINOR","LANDING: TOUCHDOWN","VANS","","","","","GENERAL OPERATING RULES","","79WT","0","0","","","","","PRIVATE PILOT","384","250","14",""
"20150712014869I","12-JUL-15","KEY WEST","FL","KEY WEST INTL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","DIAMOND","DIAMOND-40","","","","GENERAL OPERATING RULES","","338DS","0","0","LYCOMI","IO-360-MIA+","","","PRIVATE PILOT","384","197","52",""
"20080307011929I","07-MAR-08","MESA","AZ","FALCON FLD","INCIDENT","MINOR","FINAL APPROACH","DIAMOND","DIAMOND-20","DIAMOND-20-C1","SABENA AIRLINE TRAINING CENTER","INSTRUCTION","GENERAL OPERATING RULES","NONE","523MK","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","385","33","76",""
"20100802039769I","02-AUG-10","ALBUQUERQUE","NM","DOUBLE EAGLE II","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","CE-182","CE-182-R","","","GENERAL OPERATING RULES","","9851C","0","0","LYCOMI","0-540 SERIES","","1","PRIVATE PILOT","385","90","5",""
"20110904019809I","04-SEP-11","GOODING","ID","GOODING MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","VANS","RV-6","RV-6-A","","","GENERAL OPERATING RULES","","328SL","0","0","LYCOMI","O-360-A1A","","","PRIVATE PILOT","385","180","26",""
"20160110003199I","10-JAN-16","BURLESON","TX","FORT WORTH SPINKS","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","BE-95","BE-95-B95","","","PILOT SCHOOLS","","870S","0","0","CONT M","I0-470 SERIES","","","PRIVATE PILOT","385","49","20",""
"20171011016449I","11-OCT-17","WEST JORDAN","UT","SOUTH VALLEY RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA-28R","PA-28R-200","","","","","191BC","0","0","LYCOMI","I0360 SER","","","COMMERCIAL PILOT","385","4","1",""
"20110530012519I","30-MAY-11","TOMS RIVER","NJ","ROBERT J. MILLER AIR PARK","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA-28RT","PA-28RT-201","","","GENERAL OPERATING RULES","","697LB","0","0","LYCOMI","I0360 SER A&C","","","PRIVATE PILOT","386","144","24",""
"20130603009659I","03-JUN-13","HONOLULU","HI","HONOLULU INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","GLASAIR","","","","","GENERAL OPERATING RULES","","109JL","0","0","LYCOMI","IO-540 SER","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","386","360","6",""
"20130928018159I","28-SEP-13","TOPPING","VA","HUMMEL FIELD","INCIDENT","MINOR","TAXI","CESSNA","CE-182","CE-182-R","","","GENERAL OPERATING RULES","","36AF","0","0","LYCOMI","0-540 SERIES","","1","PRIVATE PILOT","386","279","8",""
"20160429003379I","29-APR-16","OXFORD","CT","WATERBURY-OXFORD","INCIDENT","MINOR","TAXI","CESSNA","CE-172","CE-172-M","","","GENERAL OPERATING RULES","","12766","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","386","298","17",""
"20120825021109I","25-AUG-12","NASHVILLE","TN","JOHN C TUNE","INCIDENT","MINOR","LANDING: ROLLOUT","AERONCA","AR-11","AR-11-AC","","","GENERAL OPERATING RULES","","86002","0","0","CONT M","A&C65 SERIES","","1","PRIVATE PILOT","387","14","18",""
"20130614017329I","14-JUN-13","FARMINGTON","PA","NEMACOLIN","INCIDENT","MINOR","TAXI","PIPER","PA-28","PA-28-181","","","GENERAL OPERATING RULES","","415CA","0","0","","","","","PRIVATE PILOT","387","295","8",""
"20180203001969I","03-FEB-18","PLAINS","TX","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","MOONEY","M-20","M-20-E","","","GENERAL OPERATING RULES","","2138R","0","0","LYCOMI","I0360 SER","UNKNOW","1","PRIVATE PILOT","388","346","25",""
"20080929854949I","29-SEP-08","NEW SMYRNA BEACH","FL","NEW SMYRNA BEACH MUNI","INCIDENT","MINOR","LANDING","BEECH","BE-23","","","","GENERAL OPERATING RULES","","2376Z","0","0","","","","1","PRIVATE PILOT","389","120","18",""
"20090519010919I","19-MAY-09","","IL","ST LOUIS DOWNTOWN","INCIDENT","NONE","DESCENT","BEECH","BE-76","","","","GENERAL OPERATING RULES","UNKNOWN","6042F","0","0","","","","2","COMMERCIAL PILOT","389","35","2",""
"20110718014079I","18-JUL-11","ALBEMARLE","NC","","INCIDENT","MINOR","LANDING: TOUCHDOWN","AERONCA","AR-7","AR-7-AC","","","GENERAL OPERATING RULES","","81585","0","0","CONT M","A&C65 SERIES","","1","PRIVATE PILOT","389","10","29",""
"20130927021579I","27-SEP-13","SAINT CHARLES","MO","","INCIDENT","NONE","DESCENT","CESSNA","CE-172","CE-172-H","","","GENERAL OPERATING RULES","","3878R","0","0","CONT M","0-300 SER","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","389","64","14",""
"20091022050759I","22-OCT-09","GLEN BURNIE","MD","BALTIMORE/WASHINGTON INTL THURGOOD MARSHAL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","CE-182","CE-182-P","","","GENERAL OPERATING RULES","","52808","0","0","CONT M","O-470 SERIES","UNKNOW","1","PRIVATE PILOT","390","290","19",""
"20110927021049I","27-SEP-11","GREENVILLE","SC","GREENVILLE DOWNTOWN","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","BE-35","BE-35-V35","","","GENERAL OPERATING RULES","","3770Q","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","390","320","4",""
"20120610010009I","10-JUN-12","OLIVEHURST","CA","YUBA COUNTY","INCIDENT","NONE","TAXI","RANS","","","","","GENERAL OPERATING RULES","","512TJ","0","0","ROTAX","912ULS","","","","390","290","30",""
"20121228028479I","28-DEC-12","MESA","AZ","PHOENIX-MESA GATEWAY","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","CE-172","CE-172-R","","","GENERAL OPERATING RULES","","2098A","0","0","LYCOMI","I0360 SER A&C","IO-360","1","PRIVATE PILOT FLIGHT INSTRUCTOR","390","170","150",""
"20150306002729I","06-MAR-15","OXFORD","CT","WATERBURY-OXFORD","INCIDENT","MINOR","TAKEOFF: DEPARTURE","MOONEY","M-20","M-20-TN","","","GENERAL OPERATING RULES","","521A","0","0","CONT M","TSIO-550-G","UKNOWN","1","PRIVATE PILOT","390","240","10",""
"20150708010839I","08-JUL-15","KANKAKEE","IL","BENOIT","INCIDENT","SUBSTANTIAL","TAKEOFF: CLIMB OUT","WTHRLY","WTHRLY-620","WTHRLY-620-B","BENOIT AERIAL SPRAYING INC","","AGRICULTURAL","","2019R","0","0","P&W","R-985 SERIES","","1","COMMERCIAL PILOT","390","61","100",""
"20151104018629I","04-NOV-15","INDIANAPOLIS","IN","EAGLE CREEK AIRPARK","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA-23","PA-23-250","","","GENERAL OPERATING RULES","","62769","0","0","LYCOMI","TI0-540 SER","","","PRIVATE PILOT","390","30","30",""
"20141129022609I","29-NOV-14","MARANA","AZ","MARANA RGNL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA-24","PA-24-250","","","GENERAL OPERATING RULES","","7123P","0","0","LYCOMI","0-540 SERIES","","","PRIVATE PILOT","391","132","1",""
"20160723011429I","23-JUL-16","LIBERAL","KS","LIBERAL MID-AMERICA RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","BE-35","","","","GENERAL OPERATING RULES","","4550V","0","0","CONT M","E185 SERIES","","","PRIVATE PILOT","391","194","23",""
"20120112000559I","12-JAN-12","BERKELEY","WV","","INCIDENT","NONE","CLIMB","BEECH","BE-23","BE-23-C23","","","GENERAL OPERATING RULES","","9167S","0","0","LYCOMI","O-360 SER","O-360","1","COMMERCIAL PILOT","392","257","12",""
"20170916019499I","16-SEP-17","SHERMAN","TX","","INCIDENT","NONE","DESCENT","CESSNA","CE-172","CE-172-E","","","GENERAL OPERATING RULES","","3701S","0","0","CONT M","0-300 SER","UNKNOW","1","PRIVATE PILOT","393","170","13",""
"20171202022299I","02-DEC-17","SALUDA","VA","HUMMEL FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","MOONEY","M-20","M-20-J","","","GENERAL OPERATING RULES","","201NM","0","0","LYCOMI","I0360 SER","","1","PRIVATE PILOT","393","387","19",""
"20150321003659I","21-MAR-15","HOLLYWOOD","FL","NORTH PERRY","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA-28","PA-28-181","","","PILOT SCHOOLS","","531NA","0","0","LYCOMI","O&VO-360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","394","89","186",""
